device=cuda, params=1119.5M
preference pairs: 60000
step     0 | loss 0.6931 | pref acc 0.00
step    50 | loss 0.7196 | pref acc 0.00
step   100 | loss 0.6093 | pref acc 1.00
step   150 | loss 0.5230 | pref acc 1.00
step   200 | loss 0.7056 | pref acc 0.50
step   250 | loss 0.7897 | pref acc 0.50
step   300 | loss 0.4801 | pref acc 1.00
step   350 | loss 0.3781 | pref acc 1.00
step   400 | loss 0.3847 | pref acc 1.00
step   450 | loss 0.0431 | pref acc 1.00
step   500 | loss 0.3841 | pref acc 1.00
step   550 | loss 0.6146 | pref acc 0.50
step   600 | loss 0.5811 | pref acc 1.00
step   650 | loss 0.9707 | pref acc 0.00
step   700 | loss 0.3682 | pref acc 1.00
step   750 | loss 0.3897 | pref acc 1.00
step   800 | loss 0.2461 | pref acc 1.00
step   850 | loss 0.1908 | pref acc 1.00
step   900 | loss 0.1930 | pref acc 1.00
step   950 | loss 0.2227 | pref acc 1.00
step  1000 | loss 0.8335 | pref acc 0.50
step  1050 | loss 0.2426 | pref acc 1.00
step  1100 | loss 0.9786 | pref acc 0.50
step  1150 | loss 0.4578 | pref acc 1.00
step  1200 | loss 0.5997 | pref acc 0.50
step  1250 | loss 0.2959 | pref acc 1.00
step  1300 | loss 0.6315 | pref acc 0.50
step  1350 | loss 0.7727 | pref acc 0.50
step  1400 | loss 0.7253 | pref acc 0.50
step  1450 | loss 0.0734 | pref acc 1.00
step  1500 | loss 0.4599 | pref acc 1.00
step  1550 | loss 0.6100 | pref acc 0.50
step  1600 | loss 0.5425 | pref acc 1.00
step  1650 | loss 0.4194 | pref acc 1.00
step  1700 | loss 0.5847 | pref acc 0.50
step  1750 | loss 0.4322 | pref acc 0.50
step  1800 | loss 0.1980 | pref acc 1.00
step  1850 | loss 0.6338 | pref acc 0.50
step  1900 | loss 0.5106 | pref acc 0.50
step  1950 | loss 1.0128 | pref acc 0.50
saved ckpt/dpo_Apex-1_v1.pt
snapshot -> ckpt/dpo_Apex-1_v1.json
